Предложение,Название произведения,Номер автора
﻿– Так ты приходи!,Гостинец,0
"– в третий раз попросил Сениста, и в третий раз Сазонка торопливо ответил:
– Приду, приду, ты не бойся.",Гостинец,0
"Еще бы не прийти, конечно прийду.",Гостинец,0
И снова они замолчали.,Гостинец,0
"Сениста лежал на спине, до подбородка укрытый серым больничным одеялом, и упорно смотрел на Сазонку; ему хотелось чтобы Сазонка подольше не уходил из больницы и чтобы своим ответным взглядом он еще раз подтвердил обещание не оставлять его в жертву одиночеству, болезни и страху.",Гостинец,0
"Сазонке же хотелось уйти, но он не знал, как это сделать без обиды для мальчика, шмурыгал носом, почтисползал со стула и опять садился плотно и решительно, как будто навсегда.",Гостинец,0
"Он бы еще посидел, если бы было о чем говорить; но говорить было не о чем, и мысли приходили глупые, от которыхстановилось смешно и стыдно.",Гостинец,0
"Так, его все время тянуло называть Сенисту по имени и отчеству – Семеном Ерофеевичем, что было отчаянно нелепо: Сениста был мальчишка-подмастерье, а Сазонка был солидным мастером и пьяницей и Сазонкой звался только по привычке.",Гостинец,0
"И еще двух недель не прошло с тех пор, как он дал Сенисте последний подзатыльник, и эт обыло очень дурно, но и об этом говорить тоже нельзя.",Гостинец,0
"Сазонка решительно начал сползать со стула, но не доведя дело до половины, так же решительно всполз назад и сказал не то в виде укоризны, не то то утешения:
– Такие вот дела.",Гостинец,0
"Болит, а?",Гостинец,0
"Сениста утвердительно качнул головой и тихо ответил:
Ну, ступай.",Гостинец,0
А то он бранить будет.,Гостинец,0
"– Это верно, – обрадовался Сазонка предлогу.",Гостинец,0
"– Он и то приказывал: ты, говорит, поскорее.",Гостинец,0
Отвезешь – и той же минутой назад.,Гостинец,0
И чтобы водки ни-ни.,Гостинец,0
"Вот, черт!",Гостинец,0
"Но вместе с сознанием, что он может теперь уйти каждую минуту, в сердце Сазонки вошла острая жалость к большеголовому Сенисте.",Гостинец,0
"К жалости призывала вся необычная обстановка: тесный ряд кроватей с бледными, хмурыми людьми; воздух, до последней частицы испорченный запахом лекарств и испарениями больного человеческого тела; чувство собственной силы и здоровья.",Гостинец,0
"И, уже не избегая просительного взгляда, Сазонка наклонился к Сенисте и твердо повторил:
– Ты, Семен... Сеня, не бойся.",Гостинец,0
Приду.,Гостинец,0
"Как ослобонюсь, так и к тебе.",Гостинец,0
Разве мы не люди?,Гостинец,0
Господи!,Гостинец,0
Тоже и у нас понятие есть.,Гостинец,0
Милый!,Гостинец,0
Веришь мне аль нет?,Гостинец,0
"И с улыбкой на почерневших, запекшихся губах Сениста отвечал:
– Верю.",Гостинец,0
– Вот!,Гостинец,0
"﻿Осип Абрамович, парикмахер, поправил на груди посетителя грязную простынку, заткнул ее пальцами за ворот и крикнул отрывисто и резко:
- Мальчик, воды!",Девять рассказов,0
"Посетитель, рассматривавший в зеркало свою физиономию с тою обостренною внимательностью и интересом, какие являются только в парикмахерской, замечал, что у него на подбородке прибавился еще один угорь, и с неудовольствием отводил глаза, попадавшие прямо на худую, маленькую ручонку, которая откуда-то со стороны протягивалась к подзеркальнику и ставила жестянку с горячей водой.",Девять рассказов,0
